respid,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)"
17632,0.0661269771694352,-3.727635161783142,-1.064679967739959,-1.1599659804813656,0.0843525271662805,-4.448662426738823,-1.8159672685917432,-0.3218051365572144,0.1750187962487518,-6.190562702808319,-4.069319842948582,-2.8931861966054195
17635,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
17637,0.0852539597603231,-3.7235956674461086,-1.0397931334940884,-1.353444532207764,0.1038431416351027,-5.085769643709515,-2.4483735672494977,-0.8289156890741984,0.2198305933217905,-7.606715545438623,-5.2728666775862525,-4.106884691921957
17640,0.0700799804948896,-3.3202536615864404,-0.5885948393899497,-0.768350484898218,0.1016109161155348,-5.035239054522806,-2.4309658045162728,-0.4975353448913516,0.1899948728084938,-7.008872846213936,-4.737097900030284,-3.2893409793798893
17658,0.0665736241122435,-3.4880928902818886,-0.73269200859465,-0.9089138512992958,0.0962626282413181,-5.094096268434197,-2.4196859018124486,-0.5657811591097078,0.1886886825265167,-7.123131872763596,-4.83272733014509,-3.391733930775416
17661,0.0755157176425418,-3.485875478213566,-0.8071179425509133,-0.9532845807318012,0.1068130968307015,-5.174314025008723,-2.538767858562933,-0.8378534293587955,0.2126120409548501,-7.077817514099761,-4.831277102488637,-3.574263483799173
17668,0.0648190494727827,-3.457273106262428,-0.7067827784224778,-0.8965695944072956,0.0935975463209669,-4.982836508648156,-2.3236479559923544,-0.4951709989669883,0.2027372315803693,-7.575747054862772,-5.307520029410797,-3.829460316881616
17686,0.0864614670302246,-2.8371420260182885,-0.1478612250164838,-0.3273464799854381,0.1299841607228094,-4.226356093489674,-1.625554620963641,0.4151950605825193,0.2721764232967356,-7.793994499607355,-5.388939540097279,-3.454644884777036
17704,0.0721165015992465,-3.336811366502672,-0.5445100109659062,-0.7710416371450648,0.1029342202188544,-4.976317116494435,-2.3359171127656526,-0.6458747759270833,0.2093039383021433,-6.95718130129558,-4.6509339977755415,-3.442248977015758
17713,0.0727581565366623,-4.228214006046383,-1.5813118016039591,-1.6600270796470824,0.0868137950488373,-4.88705481194548,-2.2094915730227065,-0.3914214182699315,0.1655201070022537,-6.435282028081926,-4.328383219251645,-2.83164666515884
17774,0.0738764826580994,-3.5757562367375675,-0.8147263052908855,-0.9424556269474156,0.0989598412120315,-5.105921130019731,-2.362987490085677,-0.3659144406529762,0.1840617517660464,-6.906023814966344,-4.638632901960969,-3.106758524631409
17778,0.0708623759556364,-2.7205135362208237,-0.0166131809278128,-0.2166348215807349,0.094754012445318,-4.069328484347536,-1.434154236892365,0.2045621244292544,0.2000872357129317,-6.395715364594349,-4.035267620885917,-2.88413135335439
17784,0.0667486737120326,-3.10491138874979,-0.3986890785384796,-0.4802666591783282,0.0941894548883467,-4.69010634192508,-1.986522056408861,-0.2046442787287263,0.1782483053135598,-6.52347585255932,-4.256241492030422,-2.921141509332592
17803,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
17824,0.0737163389466771,-3.4934120076789466,-0.7759545105851664,-0.8761517891134607,0.1022052002958275,-5.063624283486027,-2.4239497877974374,-0.6761230707831449,0.1983544655161178,-7.022868380592853,-4.822599240615077,-3.43643156955514
17856,0.0915228407697947,-3.4142411331865143,-0.7505237836843307,-1.0396258897893242,0.1250666544671879,-4.906660589910406,-2.3676160871001395,-0.6904720569300964,0.2342852542767297,-7.29434116403675,-4.953604639133607,-3.606798928725552
17886,0.0981808439919908,-3.2195196554885666,-0.5451833875272266,-0.6671599300515225,0.1250628870961942,-4.318984013642346,-1.6642802275248774,0.076114828137528,0.2211261285517112,-6.582724433070178,-4.280460925776646,-2.812556200057528
17887,0.0730078016000777,-3.456297683872675,-0.6937187096436536,-0.9538281635966426,0.0997908182231109,-4.965219394434356,-2.346880686681726,-0.6797149582906536,0.1982444856119147,-7.043379263580966,-4.733605732718319,-3.597572485948782
