respid,age,totinc,retinc,hlth,atr_w,atr_r
5430,61,31880.459065804826,38852.63954047742,1,0.09499645669459973,0.058687665480142225
5433,62,12338.668647021115,12338.668647021115,1,0.02547846075587832,0.02547846075587832
5438,68,34515.45189329291,34515.45189329291,1,0.044656714601334864,0.044656714601334864
5454,68,15000.0,15000.0,1,0.0,0.0
5479,68,15000.0,15000.0,1,0.0,0.0
5495,64,35916.957011174556,35916.957011174556,1,0.10894360314390704,0.10894360314390704
5503,66,10999.580198489,10999.580198489,1,1.2721121584628263e-05,1.2721121584628263e-05
5513,67,14800.0,14800.0,1,0.0,0.0
5526,69,13431.116426335662,13431.116426335662,1,0.020617681304664598,0.020617681304664598
5529,60,30797.08285190308,30797.08285190308,3,0.06744721025980555,0.06744721025980555
5541,67,26252.12860540623,26252.12860540623,1,0.1271281501164614,0.1271281501164614
5557,70,28351.026725076128,28351.026725076128,1,0.050608980111643366,0.050608980111643366
5564,61,56801.74026079909,42473.08246589517,1,0.15725876608422895,0.0910789702034596
5568,62,51986.743753208866,51986.743753208866,1,0.07691170651754276,0.07691170651754276
5572,70,61363.11997487088,61363.11997487088,1,0.13889828579012578,0.13889828579012578
5610,62,48096.62541184868,39960.85402794751,1,0.16986681261348865,0.1251156956104189
5612,62,33938.20354465007,33938.20354465007,1,0.10173303702186029,0.10173303702186029
5631,70,42774.46715923305,42774.46715923305,1,0.13852344480053447,0.13852344480053447
5663,67,101099.92772418165,101099.92772418165,2,0.004992184522621938,0.004992184522621938
5676,67,56635.58498055556,56635.58498055556,1,0.20957831295868382,0.20957831295868382
5693,69,42085.17605634327,42085.17605634327,1,0.2057696876666377,0.2057696876666377
5703,67,31477.720802096912,31477.720802096912,2,0.11803837801109338,0.11803837801109338
5707,60,44717.62098979901,41828.7927834044,1,0.1253168249938651,0.12267211277315719
5743,65,66515.30660936331,66515.30660936331,1,0.1735003878901039,0.1735003878901039
5772,67,54542.109024486934,16094.650797838241,1,0.14111538989629085,0.0984264068445903
5795,67,40371.29801468053,40371.29801468053,1,0.08518327265551437,0.08518327265551437
5797,65,25362.414558891083,25362.414558891083,1,0.05697592957360205,0.05697592957360205
5857,66,45547.30132354885,45547.30132354885,1,0.12432736770249861,0.12432736770249861
5885,61,42849.03528119266,42849.03528119266,1,0.0888392635830399,0.0888392635830399
5933,60,20350.0,20350.0,1,0.0,0.0
5941,69,33438.82164899804,33438.82164899804,1,0.08039548323521391,0.08039548323521391
5943,64,38432.93152466402,38432.93152466402,1,0.06741441572422618,0.06741441572422618
5949,68,38890.460864260815,38890.460864260815,1,0.12910010484547596,0.12910010484547596
5951,60,26128.979019583257,26128.979019583257,1,0.038042538583658025,0.038042538583658025
5956,70,23328.023913641286,23328.023913641286,1,0.08904051515050841,0.08904051515050841
5961,65,18005.0,18005.0,2,0.0,0.0
5968,61,27791.944490398135,20344.56000665498,1,0.08785413026087734,0.015717949075527402
6001,68,30571.286861852426,30571.286861852426,1,0.09282685962182538,0.09282685962182538
6010,70,63304.455768960936,63304.455768960936,1,0.14137961346427452,0.14137961346427452
6012,62,5714.206432832996,5714.206432832996,1,0.057025204223226565,0.057025204223226565
6028,61,13600.0,13600.0,1,0.0,0.0
6029,62,68973.8917568537,68973.8917568537,1,0.18024276471428358,0.18024276471428358
6041,60,19306.214126879775,23919.170432930525,1,0.06980927883609038,0.013100783876828911
6049,63,36967.35956584829,36967.35956584829,1,0.11335210156420299,0.11335210156420299
6060,64,28229.808225280256,28229.808225280256,1,0.0887173087055093,0.0887173087055093
6073,68,14993.486445002363,14993.486445002363,1,0.01735693735374379,0.01735693735374379
6089,70,44298.57543190962,44298.57543190962,1,0.014731459759492516,0.014731459759492516
6126,61,30379.463095836363,24285.95546279983,1,0.06474708770522498,0.022366134821257357
6143,61,51451.05184249829,52558.08378949313,1,0.2195978108193034,0.1684273683104295
6145,68,31081.27463191433,31081.27463191433,1,0.09120078437771005,0.09120078437771005
6146,64,32919.759715292,32919.759715292,1,0.026410375869776993,0.026410375869776993
6159,68,38921.305247114266,17000.0,1,0.032148949932293086,0.0
6178,67,7121.0,7121.0,1,0.0,0.0
6196,68,22500.0,22500.0,1,0.0,0.0
6201,64,32874.013318381614,32874.013318381614,1,0.07977065136397828,0.07977065136397828
6217,63,76443.20703872484,76443.20703872484,1,0.2249874685531666,0.2249874685531666
6234,64,9389.46076235983,11021.49413487936,1,0.09897086760457434,0.06314759884341063
6245,61,20258.00046840618,20258.00046840618,1,0.015343681958681231,0.015343681958681231
6249,65,57758.12210254372,31599.788763394998,1,0.20140154507558067,0.07269116222739122
6261,70,60909.9336200537,60909.9336200537,1,0.06021109064282546,0.06021109064282546
6272,60,22842.536420179596,19810.14493297875,1,0.07694410501009337,0.0731840687762025
6277,68,20000.0,20000.0,1,0.0,0.0
6288,65,51934.81156308265,32381.16598410571,1,0.18313629874640458,0.07786647258204146
6310,64,26128.979019583257,26128.979019583257,1,0.038042538583658025,0.038042538583658025
6318,61,10350.890912548668,15085.007223901117,1,0.11010144420161991,0.0
6321,67,21200.0,21200.0,1,0.0,0.0
6323,63,37485.56852108675,37485.56852108675,1,0.10554079615249116,0.10554079615249116
6330,62,36026.87589680783,33156.48547349438,2,0.09778627097512244,0.06250712160258234
6335,68,37205.95444666957,34420.3379152639,1,0.11357659911982401,0.07753509790188813
6345,66,22123.697220621663,22123.697220621663,1,0.004715122975552124,0.004715122975552124
6348,66,93152.01971239201,77864.31287194109,1,0.2043351000352115,0.021385020375286543
6349,67,45119.49163117711,48715.028906772495,1,0.20345524652627073,0.1913074646462862
6357,69,46083.82964447682,46083.82964447682,1,0.10640848344295677,0.10640848344295677
6361,61,28615.232109634624,28615.232109634624,1,0.05354259164678421,0.05354259164678421
6374,67,41659.26428580705,27097.106178601633,1,0.11937356695356383,0.0849048230499169
6377,64,75412.46465658673,75412.46465658673,1,0.2538553455882695,0.2538553455882695
6386,64,7715.5250008042685,8399.98219092692,1,0.022445506331097417,7.067381075633147e-07
6395,62,33553.63433718453,26000.0,1,0.06715491801613416,0.0
6406,70,44197.17404263955,44197.17404263955,1,0.17937633566194353,0.17937633566194353
6410,68,42419.11628509715,42419.11628509715,1,0.11152137780104325,0.11152137780104325
6430,63,44597.29962999073,44597.29962999073,1,0.12588493377077634,0.12588493377077634
6457,67,34925.33756152794,34925.33756152794,1,0.1070782577312578,0.1070782577312578
6465,66,12000.0,12000.0,1,0.0,0.0
6474,65,47429.3065528581,47429.3065528581,1,0.10657129166993617,0.10657129166993617
6479,60,23148.55267759343,10131.106801701393,1,0.11303378207389826,0.09829349608748093
6482,68,33120.708485133946,33120.708485133946,1,0.08283162212964398,0.08283162212964398
