respid,female,college,nkids,anykids,university,pexhaust,pbeq,pnhome
2447,1,0.0,2.0,1,0.0,1.0,0.5,
2454,1,0.0,4.0,1,0.0,1.0,1.0,0.8
2457,0,1.0,3.0,1,0.0,0.02,0.9,0.8
2465,0,0.0,1.0,1,1.0,,0.25,0.75
2479,0,0.0,2.0,1,1.0,0.5,0.5,0.9
2487,1,0.0,0.0,0,1.0,0.25,0.3,0.3
2500,0,0.0,4.0,1,1.0,,1.0,
2502,0,0.0,2.0,1,1.0,0.0,1.0,0.85
2528,1,1.0,3.0,1,0.0,0.0,1.0,0.75
2549,1,1.0,0.0,0,0.0,0.4,1.0,0.0
2596,0,0.0,0.0,0,0.0,0.0,0.0,0.5
2598,0,0.0,2.0,1,0.0,0.15,1.0,1.0
2611,0,0.0,1.0,1,0.0,1.0,1.0,
2623,0,0.0,2.0,1,1.0,0.5,0.99,0.5
2636,0,0.0,2.0,1,1.0,,,
2659,1,0.0,3.0,1,0.0,1.0,0.75,0.0
2676,1,1.0,0.0,0,0.0,1.0,0.25,0.2
2685,1,0.0,0.0,0,1.0,0.25,1.0,0.5
2686,1,1.0,3.0,1,0.0,0.0,1.0,0.0
2709,0,0.0,2.0,1,0.0,1.0,0.0,0.0
2726,1,1.0,0.0,0,0.0,0.2,,0.8
2728,0,1.0,2.0,1,0.0,0.75,0.5,0.5
2745,0,1.0,2.0,1,0.0,0.4,0.2,0.15
2758,1,0.0,2.0,1,0.0,0.0,1.0,0.05
2768,0,0.0,5.0,1,0.0,0.85,0.0,0.0
2783,1,1.0,2.0,1,0.0,0.5,,1.0
2804,0,0.0,3.0,1,0.0,,1.0,0.0
2829,1,0.0,2.0,1,0.0,,,0.5
2866,1,0.0,2.0,1,1.0,1.0,0.0,0.5
2868,0,0.0,2.0,1,0.0,1.0,1.0,0.0
2869,1,1.0,2.0,1,0.0,0.8,0.0,
2870,1,1.0,3.0,1,0.0,0.1,0.9,0.3
2874,1,0.0,0.0,0,0.0,0.25,0.75,0.95
2877,1,1.0,2.0,1,0.0,,,0.0
2894,1,0.0,1.0,1,0.0,0.0,1.0,0.0
2923,1,1.0,2.0,1,0.0,0.29,0.25,0.0
2958,0,0.0,2.0,1,1.0,0.25,0.95,0.95
3014,1,1.0,2.0,1,0.0,,,
3018,1,1.0,0.0,0,0.0,0.5,0.75,0.85
3050,1,0.0,2.0,1,1.0,,,
3069,0,1.0,2.0,1,0.0,0.75,0.1,0.2
3076,0,0.0,2.0,1,1.0,1.0,0.25,0.05
3098,0,0.0,2.0,1,0.0,,,
3103,0,0.0,1.0,1,1.0,1.0,1.0,0.1
3104,0,0.0,2.0,1,1.0,0.9,0.35,0.25
3105,0,0.0,1.0,1,0.0,,,
3127,1,0.0,0.0,0,1.0,0.5,0.0,1.0
3136,0,0.0,0.0,0,0.0,1.0,1.0,0.0
3140,0,0.0,2.0,1,1.0,,,
3144,0,0.0,2.0,1,1.0,,,
3145,0,0.0,2.0,1,0.0,0.8,0.5,0.0
3153,1,0.0,0.0,0,1.0,0.8,1.0,0.5
3160,0,0.0,0.0,0,1.0,1.0,0.1,0.05
3197,1,0.0,2.0,1,0.0,0.75,0.75,0.5
3198,0,0.0,1.0,1,1.0,0.1,0.9,0.8
3201,1,0.0,3.0,1,1.0,0.05,1.0,
3202,1,0.0,3.0,1,1.0,0.4,0.75,0.01
3214,0,1.0,4.0,1,0.0,0.75,1.0,0.1
3235,0,0.0,0.0,0,0.0,0.8,,
3237,0,1.0,5.0,1,0.0,,0.75,
3242,1,0.0,2.0,1,1.0,1.0,1.0,0.5
3254,0,0.0,2.0,1,1.0,0.0,1.0,0.1
3271,0,0.0,1.0,1,0.0,0.5,0.8,0.3
3274,0,0.0,3.0,1,0.0,0.0,1.0,0.8
3319,0,0.0,2.0,1,1.0,0.7,0.5,0.9
3326,0,0.0,0.0,0,0.0,0.1,1.0,0.3
3330,1,0.0,3.0,1,0.0,,0.0,
3338,0,0.0,2.0,1,1.0,0.7,0.8,1.0
3340,1,1.0,0.0,0,0.0,0.01,0.99,
3343,1,0.0,0.0,0,1.0,0.5,0.0,0.9
3362,0,0.0,4.0,1,1.0,,,
3365,0,0.0,2.0,1,1.0,0.9,0.25,0.5
3381,0,0.0,3.0,1,1.0,0.1,0.5,0.75
3390,0,0.0,2.0,1,0.0,0.15,1.0,0.1
3398,0,1.0,2.0,1,0.0,0.0,1.0,0.0
3405,0,0.0,3.0,1,1.0,1.0,1.0,0.0
3406,0,1.0,0.0,0,0.0,0.0,1.0,1.0
3434,0,1.0,0.0,0,0.0,1.0,1.0,0.0
3435,0,1.0,2.0,1,0.0,0.5,0.9,0.1
3442,1,1.0,3.0,1,0.0,0.9,,
3446,1,1.0,3.0,1,0.0,0.9,0.1,1.0
3452,1,1.0,0.0,0,0.0,0.5,0.7,0.7
3457,0,0.0,2.0,1,1.0,,1.0,
3474,1,0.0,2.0,1,1.0,0.2,0.9,0.1
3488,0,0.0,3.0,1,0.0,0.25,0.95,0.5
3491,1,0.0,2.0,1,1.0,,0.75,
3501,0,1.0,2.0,1,0.0,0.75,0.0,0.2
3505,1,0.0,0.0,0,1.0,0.3,0.7,0.5
3522,0,0.0,2.0,1,1.0,0.25,0.5,0.5
3531,0,1.0,3.0,1,0.0,0.8,0.8,0.05
3532,0,0.0,3.0,1,1.0,0.5,,
3541,1,1.0,1.0,1,0.0,0.7,0.07,0.05
3550,0,1.0,0.0,0,0.0,0.25,0.8,0.3
3557,0,0.0,2.0,1,0.0,0.8,1.0,0.2
3564,0,1.0,2.0,1,0.0,1.0,0.0,0.75
3572,1,0.0,0.0,0,1.0,,,
3586,0,0.0,1.0,1,1.0,0.0,1.0,0.05
3587,0,0.0,0.0,0,0.0,0.5,1.0,0.7
3601,1,0.0,0.0,0,0.0,0.8,0.5,0.5
3631,0,1.0,2.0,1,0.0,,,0.5
3633,0,0.0,0.0,0,1.0,0.0,1.0,0.5
3642,1,0.0,1.0,1,1.0,0.05,0.9,0.25
3656,0,0.0,2.0,1,1.0,1.0,0.0,
3663,1,1.0,2.0,1,0.0,1.0,0.1,0.5
3680,0,0.0,2.0,1,0.0,0.0,0.99,
3692,0,0.0,2.0,1,1.0,0.65,0.8,
3695,0,0.0,2.0,1,0.0,,,
3698,0,0.0,3.0,1,1.0,,,
3699,1,0.0,1.0,1,0.0,0.0,0.9,0.9
3715,0,1.0,1.0,1,0.0,,,
3721,0,0.0,2.0,1,1.0,0.8,1.0,0.5
3729,0,1.0,2.0,1,0.0,,,
3750,0,0.0,2.0,1,1.0,1.0,0.0,0.8
3751,0,0.0,3.0,1,0.0,0.8,0.0,
3771,0,1.0,2.0,1,0.0,0.9,0.0,0.1
3777,1,0.0,0.0,0,1.0,0.1,0.5,0.2
3785,0,0.0,2.0,1,1.0,0.25,1.0,0.4
3795,0,0.0,2.0,1,1.0,0.6,1.0,0.0
3802,1,0.0,2.0,1,0.0,,,0.5
3807,0,1.0,2.0,1,0.0,1.0,1.0,0.75
3822,0,1.0,2.0,1,0.0,0.0,0.9,0.1
3826,1,0.0,2.0,1,0.0,0.5,0.0,0.7
3899,0,0.0,3.0,1,1.0,0.0,1.0,0.0
3908,0,1.0,2.0,1,0.0,0.1,0.6,0.25
3910,0,0.0,0.0,0,0.0,,,
3914,0,0.0,0.0,0,1.0,0.5,0.5,0.85
3924,0,0.0,0.0,0,0.0,,,1.0
3926,1,0.0,2.0,1,1.0,0.75,0.5,0.8
3930,0,0.0,2.0,1,1.0,0.75,1.0,0.5
3931,0,0.0,2.0,1,0.0,0.25,0.8,0.5
3935,0,0.0,2.0,1,1.0,0.5,1.0,0.25
3944,0,0.0,2.0,1,1.0,0.1,1.0,0.9
3961,1,0.0,0.0,0,0.0,0.2,0.5,0.8
3975,0,0.0,3.0,1,1.0,0.1,1.0,0.75
3983,1,1.0,5.0,1,0.0,0.5,1.0,0.0
3996,1,0.0,1.0,1,1.0,,0.99,
4003,1,1.0,3.0,1,0.0,,0.2,0.0
4035,0,0.0,4.0,1,1.0,0.1,0.9,0.5
4036,0,1.0,3.0,1,0.0,0.4,0.8,
4060,0,0.0,2.0,1,0.0,0.5,1.0,
4074,0,0.0,3.0,1,1.0,0.0,1.0,0.7
4078,0,0.0,1.0,1,1.0,,1.0,
4085,0,0.0,3.0,1,0.0,1.0,1.0,0.5
4096,0,0.0,2.0,1,1.0,0.1,0.9,0.6
4111,0,0.0,2.0,1,0.0,1.0,0.75,0.5
4113,0,0.0,2.0,1,1.0,,0.9,
4132,0,1.0,1.0,1,0.0,0.4,0.8,0.5
4134,1,0.0,3.0,1,1.0,0.8,0.9,0.8
4139,0,0.0,1.0,1,1.0,0.0,1.0,0.05
4177,0,0.0,6.0,1,0.0,0.0,1.0,0.95
4182,1,0.0,0.0,0,1.0,0.3,0.8,0.2
4191,0,0.0,2.0,1,0.0,0.0,1.0,0.5
