respid,mu,zeta
1303,0.4426050544240559,0.1973206353538601
1316,0.07115560372846126,1.3356569677474244
1320,-1.0,3.0
1323,0.7884392193137358,0.26784879287161567
1324,-1.0,3.0
1332,1.3419724043006551,3.0
1355,0.18439782839910315,0.24383552854685395
1364,1.139294811269032,1.0173925070673195
1370,0.014567689736925455,0.009114059802130581
1374,-1.0,3.0
1389,0.18616512579675337,0.04232554047909619
1404,-1.0,0.9438456226230524
1412,0.7832692891503008,1.07067943018773
1421,0.7198412722380657,1.6108359145205877
1423,0.18616512579675337,0.04232554047909619
1439,-0.12787514427195254,1.6325428061061598
1449,0.17259524794854297,0.23261956407914214
1472,1.0712968913096304,1.1357914810540168
1477,0.6291956899282122,0.1865306227466173
1506,0.23635482715392087,0.5351794427709834
1540,0.2709845605734625,1.392217671289878
1591,0.18616512579675337,0.04232554047909619
1592,0.30339420824603075,0.7696140792672722
1660,-1.0,3.0
1685,-0.012171332134962404,1.2424718317235874
1719,0.09134956415556267,0.26567198620492294
1761,-0.002638427909580353,0.7803969108792049
1771,0.20163105797536565,0.03338075281806005
1788,0.18616512579675337,0.04232554047909619
1799,1.1534381005471277,0.3188947972107581
1805,0.29243429862942916,0.03509675633907006
1842,0.24914336861254763,0.7852454678104813
1852,0.07115560372846126,1.3356569677474244
1869,0.11077735414680703,0.17455048180760063
1884,0.004121306762622612,0.0011596977545133178
1892,0.6018859010195622,0.04563831135908791
1914,0.24487569906593068,0.37461388195811596
1929,0.36537305838403933,0.4064073450150538
1931,-1.0,0.8747505317991093
1955,0.9058801408824503,1.6438722625114603
1967,1.0286822437406629,3.0
1978,0.3167440939246636,0.6115382983713399
2039,0.06269753481349202,0.7691863757301434
2048,-0.24285284712672398,3.0
2049,0.2908895290193139,0.9045869496178964
2061,0.12768380548560493,0.8856096381356984
2086,0.49663816811463396,1.1905494970904178
2089,0.7849465641814944,1.566512260206127
2136,0.1541778804354799,0.8077317343876655
2137,-1.5971197165874096e-07,0.2323746477124121
2142,0.1230728727106097,1.4812205535992655
2231,0.09634899008955855,0.18936975103234888
2306,0.32338424881266,0.04616212608241724
2334,0.32338424881266,0.04616212608241724
2362,0.5916273692717648,0.10190160397300108
2365,0.014567689736925455,0.009114059802130581
2367,-0.005184389929155431,0.7136627832297079
2371,-0.005611499652112965,1.366348698145249
2392,0.014567689736925455,0.009114059802130581
2398,0.014567689736925455,0.009114059802130581
2436,0.18616512579675337,0.04232554047909619
2442,0.3300020960519072,0.03319515188332283
2447,0.5329023401838646,0.44124354325554394
2454,0.030490307094618693,0.4549762181004144
2457,0.0761730767569904,0.45455803182094034
2465,0.3619998839736779,0.11122485207760427
2479,0.3619998839736779,0.11122485207760427
2487,1.6626783181028724,1.4878672683177745
2500,0.18616512579675337,0.04232554047909619
2502,0.25854171712671853,0.030371061795252795
2528,0.7597087334042426,0.11262519118475645
2549,0.32338424881266,0.04616212608241724
2596,0.03954692469499412,0.9112172592454696
2598,-0.27665013530448274,1.255149676682404
2611,3.0,2.050914510192773
2623,-1.0,3.0
2636,0.3207520758853788,0.2994238173808245
2659,0.18616512579675337,0.04232554047909619
2676,-0.1952748197299808,0.3192955020775545
2685,0.12312743594296609,0.3838322768642046
2686,-1.0,3.0
2709,-1.0,0.9175101135154113
2726,0.9320375008311623,0.727682167685761
2728,0.3033769252600688,0.7693540156567321
2745,0.1720238643391456,0.840731232053434
2758,0.18616512579675337,0.04232554047909619
2768,0.20163105797536565,0.03338075281806005
2783,0.1390303948886985,0.5767260280688217
2804,0.18616512579675337,0.04232554047909619
2829,0.14760697316362761,0.011794222765088347
2866,0.8316921493201632,0.5483949123485906
2868,0.3326776312603802,0.09755932496730263
2869,0.08700847118844222,0.5723054031431543
2870,0.4041182925984807,1.2321044681495785
2874,8.059597175465318e-05,0.6690332056172389
2877,-0.012171332134962404,1.2424718317235874
2894,0.004121306762622612,0.0011596977545133178
2923,-1.0,1.0885115500776148
2958,-1.0,3.0
3014,0.012107246573919435,0.01115604002619871
3018,-0.6164492724235386,1.2043708338957209
