respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,share_rrsp
11938,949.5838434120577,3,1,1,200000.0,0.0,1000000.0,1.0
11949,2341.501344690914,4,1,1,520000.0,0.0,475000.0,0.9615384615384616
12011,1666.0411339049424,3,0,1,20000.0,400000.0,560000.0,1.0
12028,1666.0411339049424,3,1,1,680000.0,0.0,834241.8801937094,0.7352941176470589
12049,2341.501344690914,4,1,1,630000.0,0.0,493000.0,0.7936507936507936
12061,688.7628253365825,4,1,1,540000.0,0.0,1000000.0,0.9259259259259259
12073,3223.604382708034,3,1,1,250000.0,0.0,950000.0,1.0
12088,2341.501344690914,5,1,1,130000.0,200000.0,550000.0,0.7692307692307693
12096,688.7628253365825,5,1,1,350000.0,0.0,475000.0,0.5714285714285714
12099,688.7628253365825,5,1,1,590000.0,0.0,700000.0,0.847457627118644
12133,3027.395677984212,4,1,1,300000.0,300000.0,520000.0,1.0
12139,11913.367002499095,3,1,1,320000.0,0.0,1200000.0,0.875
12147,688.7628253365825,5,1,1,220000.0,0.0,680000.0,0.9090909090909091
12181,897.8346892314378,1,1,1,700000.0,0.0,1000000.0,0.2857142857142857
12183,8497.513381368772,1,1,1,580000.0,0.0,2000000.0,0.8620689655172413
12223,897.8346892314378,6,0,1,590000.0,0.0,375000.0,0.847457627118644
12228,1321.982893522959,9,1,1,200000.0,155000.0,400000.0,0.65
12236,897.8346892314378,6,1,1,41606.117575748416,0.0,300000.0,0.7596507296843085
12244,4230.715283026676,1,1,1,500000.0,0.0,800000.0,1.0
12250,1321.982893522959,9,1,1,266387.578247746,0.0,280000.0,0.4559583882465441
12256,967.2736886617231,9,1,1,0.0,39000.0,500000.0,0.0
12279,897.8346892314378,6,1,1,675000.0,0.0,800000.0,0.7407407407407407
12297,9964.177008128749,2,1,1,545600.8426472637,0.0,300000.0,0.8711142429757991
12300,4851.619932747694,2,1,1,520000.0,0.0,435000.0,0.9615384615384616
12328,1278.4983244321725,1,1,1,500000.0,0.0,1500000.0,0.8
12346,897.8346892314378,1,1,1,600000.0,0.0,1500000.0,0.8333333333333334
12347,8497.513381368772,1,1,1,269330.8823157552,0.0,999000.0,0.702967593941899
12350,2341.501344690914,5,1,1,660000.0,0.0,200000.0,0.7575757575757576
12390,897.8346892314378,6,1,1,630000.0,0.0,650000.0,0.7936507936507936
12399,6226.779569658952,9,1,1,2000.0,0.0,335635.7740182341,1.0
12421,4230.715283026676,6,0,1,310523.844190877,0.0,475000.0,0.9033890615447902
12432,8497.513381368772,1,1,1,191222.60356982306,0.0,433470.66429382935,1.0
12463,3084.2107633132296,4,1,1,130000.0,0.0,225000.0,0.7692307692307693
12472,3084.2107633132296,4,1,1,515000.0,0.0,425000.0,0.970873786407767
12500,4851.619932747694,2,1,1,270000.0,0.0,350000.0,0.9259259259259259
