id,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)"
366,0.0847162480947921,-4.406087989055991,-1.7551427509908646,-1.9237160267273583,0.1093685021580093,-5.175976703401434,-2.680144796337246,-1.0397295741846693,0.2199182699985413,-6.797357345180848,-4.745890339476896,-3.4402892602602595
395,0.0824475143136665,-4.131305805767559,-1.4324755031996137,-1.8457145776371096,0.11192273866242,-5.173529017803349,-2.5965259960479194,-1.146419308398143,0.2226544293902045,-6.748292480163387,-4.698485278554532,-3.501848522516433
406,0.0838595585503488,-4.145100914539493,-1.5098153642536862,-1.9000104099824493,0.1099403629445887,-5.062310310593224,-2.543782507850028,-1.1426986183635002,0.1807880238541884,-5.456703020221787,-3.5010650057563355,-2.358652336122582
415,0.0961105203456975,-3.62068704522613,-0.9859701987423404,-1.2656778610030082,0.1282357826852546,-4.873866909377583,-2.3588559628099697,-0.8122583197359414,0.3042356891294905,-8.561481012647649,-6.045545260635227,-4.852191043425807
417,0.0948757773821547,-2.755664496273663,-0.059730075166966,-0.1585951030797961,0.13536252910433,-4.047131785022347,-1.426720018590577,0.4747556176542942,0.3198798863321347,-8.46479416656848,-5.843846140102941,-3.951765984634173
426,0.0969250009082375,-3.662381339417258,-0.9693685132402164,-1.192872979458662,0.1168729541096624,-4.774654709919288,-2.1288712717963567,-0.4401940933749869,0.2815136399440543,-8.031787203688557,-5.581104419491387,-4.139864328030735
441,0.0856495605597628,-4.370805089473967,-1.6314800881507263,-1.7345099876868917,0.1078868203234924,-5.259851923285924,-2.7048927221355585,-0.9081900591541738,0.2175030919238287,-6.72461580543495,-4.669461907814048,-3.244115390702732
442,0.0677450614287478,-3.024548072927246,-0.3855385203352306,-0.5501230145253826,0.1053026543768269,-4.91928599937422,-2.3766896781467053,-0.7138847379765074,0.2217663350183498,-6.719051999713489,-4.5098736782797335,-3.3226621613735428
471,0.0765447253636996,-2.9196354270236142,-0.2953729800617274,-0.4751456919652711,0.1050215085198636,-4.480205774177438,-1.988580050060844,-0.4074583097002109,0.2159029052429735,-6.13236528503176,-3.910171954575289,-2.697943966379787
486,0.065918284969968,-1.944587676328552,0.6747407814713182,0.5744262219619815,0.1074801487795849,-3.150206514803775,-0.60287312534234,1.2199149157157283,0.2343097830654797,-5.752523316110279,-3.4016157146977246,-1.6550446031983268
496,0.0881454140876561,-3.581498613477226,-0.8727301376547697,-1.0689239198499036,0.1245334429143489,-4.316182238492295,-1.7219820980391192,0.0641495913372682,0.2580969232987219,-7.315002273577818,-4.888941124601436,-3.08079431101979
504,0.0781867158002367,-3.495120782433288,-0.8039013262192073,-1.0171442229062635,0.1072678012997552,-5.065626603105948,-2.49723572594659,-0.7342106917898349,0.2402865066011435,-7.579513381367841,-5.257998307508639,-4.04134946267062
538,0.0617145483290496,-3.104753524450393,-0.5678447989422611,-0.3124440334361363,0.0797500632435198,-3.801595837289557,-1.4203814012746006,0.536749649206877,0.2042765687485435,-5.761500528701887,-3.5700188609978736,-2.037234890945557
549,0.0858539001617105,-3.9150415476027134,-1.3111249930213833,-1.6902718020152618,0.1093710727131284,-4.797789980257904,-2.332373184969853,-0.9275782123580162,0.2237583726407536,-6.518814149713839,-4.394916814191767,-3.360156233635581
561,0.0826707067813016,-3.733398770125544,-0.9989064424093332,-1.252416989886142,0.106758558673515,-5.156069962841128,-2.5583356504129675,-0.9980154988346116,0.267430869073039,-8.448673290433666,-6.132469709993515,-4.97108846232338
577,0.0823745476289031,-3.7152461957845713,-1.0066307989738217,-1.2633317472414554,0.1134066515614988,-4.850994250889944,-2.1987454567954714,-0.7707791958851479,0.2280698791123429,-6.400913816554288,-4.126566714237671,-2.9750672420023805
626,0.053369223485251,-2.014449204046975,0.5160612280062413,0.5165557627801146,0.0719755339035391,-3.141613504201968,-0.6698092466958004,1.0921556060937427,0.160665486479091,-3.909902558897517,-1.7826077267089813,-0.4603358844640255
634,0.0839199301717345,-3.758437797049455,-1.036452770426246,-1.255180965137636,0.1134161939109133,-5.295999977008977,-2.675362814743844,-0.9377494611642964,0.2678026716458093,-8.21301776774583,-5.896433463875219,-4.609756281422343
646,0.0722494870340858,-3.103904722255687,-0.4423471400402783,-0.458973273683635,0.090976483344341,-3.685883078905603,-1.1651646521995382,0.5072180755095406,0.2326898543007213,-6.010205396637216,-3.574451437644403,-2.298936531050388
652,0.0604642545191215,-3.161687483907688,-0.4573419686348673,-0.7655584636852818,0.0992586647485959,-4.249747285120201,-1.5857497341061446,-0.2336770146197026,0.1980241537508795,-5.330276341890057,-3.1681941380724243,-1.969379334004632
674,0.0769209279855601,-4.095312758908364,-1.3525025205706735,-1.6801965869064026,0.104198170568535,-5.163537636306283,-2.5206773191649305,-1.1917009798369949,0.2376144354116224,-7.338694736239865,-5.168978040485923,-4.1619455334691215
687,0.093582257177521,-4.013607446906444,-1.3507385172177386,-1.4531917369015674,0.1182211484848295,-4.736997508712779,-2.1140676004420467,-0.4815007208122519,0.2351276764909985,-6.257283146893554,-4.087718488201664,-2.6266396214330947
697,0.0931945625202016,-3.644400538506583,-0.9235143793521232,-1.229376336678962,0.1153661839074559,-4.202982851311116,-1.55258043674961,-0.1663718686779636,0.2687723069636418,-6.447411687530632,-4.047680896769988,-2.812579854139303
712,0.0888661145448762,-3.721258548036494,-1.1266503903113605,-1.2873240452261323,0.1114226534008815,-5.401427142673113,-2.7604864302265133,-1.219174625026065,0.2367230582676764,-7.16919956017028,-4.9662655901270085,-3.889672680326594
731,0.0863718330121545,-4.290436911490566,-1.7352586118187132,-1.989703033307079,0.1225173352345032,-5.392750474540804,-2.956681580283969,-1.438865656928202,0.2391774462055205,-6.772282960731878,-4.768951276492722,-3.552309305068591
738,0.0836932867956681,-3.755240510031317,-1.089759295349554,-1.1257363327437604,0.1116797386368567,-5.256115635913034,-2.76142393504922,-0.8788436372375953,0.2603093785846742,-8.018405539668635,-5.799950041914315,-4.317880834332483
751,0.0750341354554373,-3.8298047689312416,-1.1938024664595337,-1.529757566314124,0.111244551782412,-5.077688054819957,-2.697062048889888,-1.2816952413528744,0.237177452165243,-6.85365218166532,-4.778754624749902,-3.6539219798653977
793,0.0855833939282307,-3.9213186603556007,-1.226753883712228,-1.4983435029431085,0.1175253213629441,-4.685130734392862,-2.1562769087843128,-0.7038626273789429,0.2467327804901471,-6.769313142825391,-4.412650835363978,-3.2451972553074726
795,0.0759315641726185,-3.9577016819164377,-1.332450137574589,-1.7746666532348645,0.1041193320525503,-4.917345679739721,-2.5098934187620463,-1.1432474111106616,0.1875784576223581,-5.794778193532777,-3.807226367259928,-2.74455217900152
817,0.083449683637357,-3.4442675367790234,-0.769005828650515,-0.8762953973039587,0.1045810746430205,-4.77293790539914,-2.228429130519948,-0.4882595702533345,0.2592229197541003,-7.795025880526127,-5.499841232631492,-4.165705076091428
833,0.0692416220504829,-3.1232801387467477,-0.5615735990114767,-0.5287918928581901,0.0885130545397861,-3.6554225001807703,-1.1025920886952358,0.5549598360082704,0.1816103773973927,-4.626399437082873,-2.592239187771396,-1.1069716422218991
864,0.0849686880446391,-4.072452547763397,-1.3508929832290315,-1.6271843793337792,0.1061591633056754,-4.883105532959884,-2.1748244435654858,-0.6742567125953083,0.2201016854420379,-6.731777534797255,-4.518535444905361,-3.273770766690268
881,0.0869669186477377,-3.546115817469844,-0.8256537641285179,-0.9908674391189176,0.1159835060354095,-5.044186640173622,-2.4541355298945304,-0.8105747920016417,0.2964967138532019,-8.902188162504318,-6.392711674973371,-5.119033347237755
897,0.0859807532942825,-3.5273329599582555,-0.8038331884215814,-1.0372451406958203,0.1152231320303965,-5.051120516073811,-2.369338562203552,-0.8407848050635334,0.2922859536271038,-8.740821468797096,-6.268378775466419,-5.039878293261664
919,0.0762389047861007,-3.594585125544743,-0.8587300591089736,-1.087459968116484,0.101023008469114,-5.036970976563903,-2.430099235193944,-0.7999533646415501,0.2731698294606651,-8.649454073775724,-6.29026083792673,-5.019587076378832
940,0.0797977217612826,-4.155889490928733,-1.526187703634848,-1.615741169650088,0.1003826119792682,-5.041933746248987,-2.4287372572947628,-0.7949213791004187,0.1846522988718117,-6.148547670153572,-4.183815295556413,-2.863682520333651
941,0.0870699714430294,-4.440209791298055,-1.827568678347834,-2.22028760806992,0.1045441478263811,-5.0877646488239385,-2.6116832045245024,-1.2307741051882055,0.2345168728274432,-7.330077342358591,-5.2518729436699765,-4.134310563295519
944,0.0881055154718017,-3.995533927331932,-1.2961914947547288,-1.4708461425877153,0.1133981479014259,-4.62752672001156,-2.004437213421065,-0.4615881714961491,0.2356825288963171,-6.666173746821972,-4.402997173910338,-3.07904047356812
950,0.0806555406987839,-4.2876212032163865,-1.6091200420766891,-1.7999145151181413,0.10760357630471,-5.131887607817535,-2.6238738734218896,-1.1242796080140156,0.2056835625927544,-6.492503162741893,-4.525023614343552,-3.1632813694290047
974,0.0753052301413329,-3.062788889409915,-0.3941089410262183,-0.5606858584455928,0.1065925826059491,-4.480124102432551,-1.8680094598139323,-0.2463162672129252,0.2427753365915946,-6.957666526945258,-4.622705880816404,-3.321364783950179
983,0.0812095833660629,-2.6586297861927712,0.0428632577946123,-0.1426140335268615,0.1155270199966336,-3.949302345578555,-1.431105365881821,0.1744006643647196,0.233520719311953,-6.135116135519694,-3.333962923691049,-2.32142443615882
985,0.0833223568475918,-3.5195902008374595,-0.8139965238711986,-1.16780176172482,0.1088333625224065,-4.883948014475104,-2.295385197611508,-0.8618636123482818,0.2921179405958934,-9.087667860318884,-6.483444228614713,-5.43191523576669
990,0.0902769159362281,-3.565641202311256,-0.9563105041898712,-1.2911253811661407,0.1077057832539584,-4.029888466103068,-1.5646954260337953,-0.2240433496393367,0.238013016080075,-5.965458048238553,-3.695195539634512,-2.591157377305865
999,0.0863665514461867,-3.451779385329287,-0.8633497923527079,-1.155919715950338,0.116562969523472,-5.231257404665744,-2.745577939217577,-1.1813251702766736,0.2663015656194586,-7.369709547126139,-5.151186069798134,-4.046107358821472
1006,0.0767934366816867,-3.436789437777464,-0.7765120047536522,-0.8455658287493117,0.1061594906170666,-5.100022026549494,-2.549855253709154,-0.7375704535619494,0.236067102222599,-7.447377024054537,-5.2291687121586605,-3.913343720198035
1011,0.0871164494121411,-3.4677468681682275,-0.7616229577794157,-0.9969310144392144,0.1165639164731667,-4.953009091064041,-2.330618564657194,-0.789721655666688,0.2598657028641494,-7.8594406297706465,-5.4276405235527365,-4.229135029014655
1014,0.0685397623003322,-3.2894577242123697,-0.6045651105308072,-0.790672234382412,0.1020473759696417,-5.051342611741971,-2.4293572846437024,-0.6272011708329914,0.2398924636916062,-7.561105586576303,-5.352760634412952,-4.003326360138206
1019,0.0810759932929375,-3.8946695161710183,-1.250332053284816,-1.5050881830679343,0.113201470118923,-4.900819862377615,-2.389820410920437,-0.9271858451012756,0.2154508807564746,-6.168024116055791,-4.095057525269779,-2.877649928350355
1031,0.0863592402630083,-3.795273009668979,-1.2505410902148355,-1.3827533803523837,0.1090926111987202,-4.440102695901511,-1.8999719312949808,-0.4059707308890325,0.225074414058672,-6.476131318278096,-4.355274979019015,-3.0004250818357847
1033,0.1073107472188656,-4.375223029068321,-1.7191576657363214,-2.081184036424099,0.1298929118433073,-5.112275986305147,-2.4944254523234317,-1.1778654397619812,0.2249993283231678,-6.231797798854165,-4.053070834038138,-3.0067763115291104
1035,0.0663718212395202,-3.532404063664562,-0.8569122222569957,-1.0362059331691298,0.0948978757868556,-4.4446809487669805,-1.9136870306723672,-0.4317897655115909,0.1379099121887716,-4.481984546278158,-2.4574443507616084,-1.2497811530286158
1041,0.080451586486193,-3.451460133377746,-0.8065519885276081,-1.00276864139223,0.1095391872724836,-5.111739606367649,-2.616468139593111,-0.8039613372883285,0.2514541192193553,-7.544380536154009,-5.236113646109772,-3.911597969886629
1047,0.0774234995476114,-3.469574184813388,-0.7999916564645935,-0.9618550174654869,0.1064887957439357,-5.005211101467678,-2.4142055257877737,-0.6954333427699594,0.2186727114641129,-6.953267773384318,-4.70401314737781,-3.3482125334903525
1048,0.0763735022935633,-3.6645638929852535,-0.9560188382800248,-1.208860376890061,0.1083424361308282,-5.196706960454834,-2.63328598349111,-0.9211957471725648,0.2736906111555807,-8.4022744184677,-6.123668875208668,-4.847273932217805
1066,0.1089698659618617,-4.12705430143818,-1.449385146079592,-1.7660934696970771,0.1298096603068651,-4.495760337996301,-1.9862910491931067,-0.6263288549102706,0.2846822567505143,-7.459992114699889,-5.068479352049817,-3.8765206966971535
1068,0.0697806273302755,-3.067040410684206,-0.3608522859318802,-0.6333575120411431,0.1086793896735476,-3.8522410108771634,-1.3174549599337648,0.4877377602179186,0.2058599412107021,-5.734183011365822,-3.507330328334484,-1.7009727583821934
1078,0.0769780620356087,-3.6922800939163034,-1.0935178393127232,-1.0143717640952528,0.1095589262606247,-4.49306972430458,-2.2873406372868024,-0.2946061337659763,0.3164544860491038,-8.038277210140098,-5.850669202148344,-4.327026187853448
1105,0.0753102153276736,-3.607257146213399,-1.0352451232109083,-1.2768001566683478,0.0999436627743329,-4.480345460913895,-1.9580802129556425,-0.3973025503270969,0.1639113858349218,-5.2535297162028645,-3.2709565812990284,-2.057719580337785
1111,0.0809985390382777,-4.296642616824364,-1.541337980966901,-1.787102835623274,0.1028856482443241,-5.043266020409348,-2.445838284429183,-0.9426533267,0.2129407737874758,-6.806679814109798,-4.690084418503887,-3.4591197548369315
1112,0.0801647630192378,-4.122551976941557,-1.4230972576852494,-1.8464231587903528,0.1031049540419098,-5.1587520304042105,-2.493325316885559,-1.0831318361415243,0.1841248801213826,-5.7747998824736495,-3.774305067604669,-2.7920872686835687
1114,0.0831488396762211,-3.4788356471483644,-0.7487953032561588,-0.9560906038114584,0.1166601647961372,-5.181118864847652,-2.5554480264845933,-0.8921830854917603,0.2710610508742681,-8.228266478123027,-5.730896496639439,-4.541753843913975
1119,0.0814767402499997,-4.116232276854094,-1.5565008058588672,-1.730187453070072,0.1137533441140479,-5.187658656600523,-2.7806468261851367,-1.2843792258393805,0.2133954357335141,-6.42191445033565,-4.497357532207878,-3.146465798743586
1145,0.0877127149693202,-4.018820707502499,-1.4056917820017452,-1.5862685081066683,0.1128169801150988,-4.877256896625025,-2.4154411673444973,-0.9534183322808258,0.2336471224697029,-6.790171585018283,-4.622307327517077,-3.431966585511055
1149,0.0888895127746996,-3.537585898425728,-0.8216925490495467,-0.9845270186296028,0.1153681967345765,-5.007955017593731,-2.36616142357451,-0.7055421185692676,0.2746695978862646,-8.261780281927118,-5.774078351089763,-4.526680375174043
1169,0.077762337901689,-3.6447186890085534,-0.9225487891269244,-1.1182034733089117,0.0905261611603255,-4.20563247488154,-1.5502753579615431,0.0390959134422056,0.137212238085038,-4.42720844204127,-2.3605746923426545,-1.0158917095403182
1179,0.0759679728394973,-4.128594600027498,-1.3940890441282698,-1.770903994460104,0.1032168071610428,-4.969071562275418,-2.4343000488056448,-0.9729180386744956,0.187118926677276,-6.00060261254279,-3.9803699847483487,-2.824829984289902
1188,0.0719649378250765,-3.392248263109157,-0.7366321575803332,-1.0083364889593338,0.1050818688484401,-4.990436842180081,-2.425196450886455,-0.7065692556509198,0.2370747771085977,-7.412984839035564,-5.145273648670135,-3.8386900336023153
1200,0.0831978089873251,-3.67490018499356,-1.0024692542850149,-1.2612937906512167,0.123627648012713,-5.47293363198447,-2.9096046497918966,-1.2034688942255105,0.2805637788778029,-8.588140994384,-6.230310187887008,-4.895018285496723
1209,0.0814022096249713,-3.2051084345428507,-0.5217630103434389,-0.7943225380947161,0.1088808592973087,-4.720029284025555,-2.087199772439129,-0.4578016627908186,0.2383445560734464,-6.949324095264317,-4.611466023247584,-3.356309899322215
1211,0.0881907013988958,-4.249973865089432,-1.5166024526583148,-1.8721165720016373,0.1145345713615487,-5.059893958903635,-2.5449027675049387,-1.1414404348781084,0.2580051013650399,-7.826781232737511,-5.6185870079888245,-4.507459181674077
1212,0.0761677894644489,-3.707591722008385,-1.020969219297076,-1.2512206881191863,0.0893743582806976,-4.435230957666546,-1.815980687089483,-0.3086006639205457,0.1553023224919767,-5.027847482478872,-2.9733328349690145,-1.8429331935365985
1227,0.0841422027378601,-3.544357638679017,-0.8810535654727402,-0.9261766438475352,0.1124629652335677,-5.076153237256256,-2.4014423712272817,-0.7214750440464163,0.2838413359768181,-8.528968527335982,-6.1413695854464665,-4.765812909744113
1238,0.083252571919605,-4.319154364866015,-1.6545935935393703,-1.8250905599356464,0.1125668070553579,-5.263107597169673,-2.708531368494186,-0.98262269950642,0.2249031553228259,-6.89778336364922,-4.8925581994799305,-3.4452552407472385
1248,0.0845677283234029,-3.225266166220361,-0.49314756682266,-0.7431524804389907,0.1121855563649291,-4.066332142089777,-1.3695715896001337,0.0363090657181128,0.2530794519803719,-6.64087526546273,-4.136546593268725,-2.936527574707753
1257,0.0832925953609447,-4.181151431544677,-1.5070785610257385,-1.8183691534566,0.1143645141413895,-5.3512310777754815,-2.774415384209555,-1.2211278819807128,0.2424389819999713,-7.256029506842058,-5.114169197637843,-3.890584057150545
1265,0.0898003906916965,-4.587654641329316,-1.9130621446428684,-2.050774588293666,0.1145311079276669,-5.408560245507569,-2.833659201311783,-1.1639421252945077,0.2530153268958858,-7.58118132343549,-5.5514670473248575,-4.1019817424233205
1268,0.0771652579010321,-3.449868673124816,-0.7925786466181937,-1.0013250250390553,0.1079051135817879,-5.150962948615681,-2.560812634148285,-0.856097140779933,0.2412961493611571,-7.606188859426362,-5.315286301994441,-4.093748482062819
1281,0.0688558180856584,-3.813562194901811,-1.2193221309754063,-1.4550926811473603,0.0971389178670452,-4.830661215080421,-2.315409150349116,-0.7423275891816192,0.1419704317404694,-4.63658191122643,-2.6714231536217383,-1.4768821205624567
1290,0.0817373972408156,-4.205125060322159,-1.5716927128412952,-1.8826141013922744,0.1094102344616144,-5.097248084383078,-2.5646659232311864,-1.01370926639808,0.199558280179969,-6.291448915024859,-4.323670636982125,-2.9605602553669508
1303,0.0832964029307332,-3.986289044723911,-1.2083965888488584,-1.5618320066554103,0.1113433365732377,-4.933548551540772,-2.406918297793434,-0.9874793207191152,0.2475922396090421,-6.971903213006443,-4.766401313832043,-3.564313272343549
1316,0.0838895039650587,-2.972786389435583,-0.3757204923001415,-0.4130234457866428,0.1120262300569834,-4.3635914270478455,-1.8123620368711304,-0.0772039595495062,0.2483337300621918,-7.004052035765409,-4.592735214580874,-3.2745331751893025
1320,0.0805574041139328,-3.880389783778593,-1.32733835045339,-1.519351519072356,0.1084207028669968,-5.015043313812738,-2.570442306315611,-1.0832595037774158,0.2028120779830204,-6.022828228083035,-4.07293409249559,-2.8901655923053284
1323,0.0898981871555995,-4.488440749855698,-1.8060162181595223,-2.3450086141099766,0.1046979033574629,-5.122113370682804,-2.574443121971463,-1.1627264946699585,0.2366742632706595,-7.368891270089322,-5.213256340169968,-4.195805475955546
1324,0.0676580020827765,-3.363291616493381,-0.6930962610690334,-1.0068673036169111,0.0958385270718034,-4.330200266237636,-1.8599131667421147,-0.4863741222963801,0.1698053198807453,-5.002513653981302,-2.875192310753292,-1.8627081399430183
1332,0.084443807629768,-3.7854390533770745,-1.0920528118942752,-1.2921699293393754,0.1102760366127319,-5.246273717803392,-2.687977038022983,-0.9149566132873757,0.2641070651136658,-8.130639313226636,-5.8584686130942005,-4.523267274517103
1355,0.0859983144367295,-3.546747954806731,-0.866240090752273,-0.9931593752013432,0.1144730732756812,-5.031965094974788,-2.350543885747786,-0.7032704534659091,0.2877100488396079,-8.571278490858319,-6.142099075211246,-4.854667811650025
1364,0.081770310828089,-4.294889106938967,-1.5745343065163062,-1.8740611630750132,0.1095858364020746,-5.302446265993075,-2.6987069134026336,-1.1108833828495437,0.2122561331617472,-6.605914530495105,-4.623284777523379,-3.3116308990626853
1370,0.0771162598660517,-3.3098724443416865,-0.5742567934734143,-1.006356114739813,0.1105826273847365,-5.061697264481316,-2.433389631297291,-0.9824267005603812,0.2174285677610321,-6.498358971177316,-4.280539723176647,-3.184855538074676
1374,0.0772533935673164,-4.1035383239428445,-1.3374499571911571,-1.8010556294587952,0.1130316719235116,-5.269810727566268,-2.5805839966506614,-1.3411718302957534,0.2261649483768557,-6.70484694490007,-4.533814947990719,-3.5516140688563063
1389,0.0992922386936326,-4.1074030149277805,-1.4110108378542634,-1.8852669747371635,0.1343477939690172,-5.045478614665857,-2.3675090779826884,-1.075885322407522,0.2855832479130202,-7.717440111607274,-5.3750534705937625,-4.223387125192925
1404,0.075921263510383,-3.15272045349531,-0.5039292572459415,-0.6048898798755354,0.1139195263625745,-5.185236477828629,-2.5548234591354277,-0.9192380501760772,0.2643147275257496,-7.690018876222861,-5.4242620257505685,-4.125757220969625
1412,0.0694008791700725,-2.734902453964144,-0.1143520542544826,-0.2509835213517936,0.099172333872012,-4.50509422606182,-1.9802353900744103,-0.2185962582515284,0.2151664342579034,-6.294494801629464,-4.03170100960356,-2.8338626399812146
1421,0.0596043449340771,-3.021507925010076,-0.2384670149718847,-0.4371443937866217,0.0903288325247181,-4.748118449683794,-2.062069048643783,-0.4407029037877808,0.1932132356201586,-6.224645514215339,-3.631176473453978,-2.759131742152966
1423,0.0745903617585709,-3.0574674504170267,-0.4268869539360421,-0.6632284695126542,0.1019033040795109,-4.699755053488157,-2.1248273154702684,-0.4839417332284194,0.2303310115033227,-6.715026845031187,-4.376582987929411,-3.232615327828963
1439,0.0796939998732177,-3.626393493458705,-0.9833377078921464,-1.0775221572151998,0.1038680345545524,-4.625212759231506,-1.965848734820568,-0.3616758656860241,0.1703158404989064,-5.309981404405581,-3.2531156880052063,-1.920429926238293
1449,0.1021131397074394,-2.850065004857975,-0.1104075916310032,-0.3036988499912905,0.1455007371425125,-4.160910710324659,-1.5129576926746393,0.2862250403269858,0.3443633997844962,-9.060775370595469,-6.24276327080353,-4.528962642314417
1472,0.0861655539554012,-4.414617757228384,-1.7695117683756605,-1.9099541734840408,0.1148355766468475,-5.402131212718697,-2.910932939937007,-1.1459437694504082,0.2288513093694062,-7.032084825325439,-4.979360476103284,-3.5477175800878213
1477,0.0676496450116416,-3.184492433870639,-0.6116962885661709,-0.6596764934267216,0.1015227994535907,-4.85574327557814,-2.339670654508246,-0.5583777781804722,0.2179650111876914,-6.488791391064654,-4.318637171369354,-2.986238368425184
1506,0.0800782024207101,-3.634128352028125,-0.949297916044423,-1.2107181870190509,0.1129026808672537,-5.314704782728465,-2.66872710485983,-1.009599614058152,0.2460065580026749,-7.688593038439547,-5.387027133462573,-4.116157886440724
1540,0.0933306557302953,-3.490821514510279,-0.8714407614138838,-0.964123671976713,0.1197501580577936,-4.8690148542527325,-2.3038404884249206,-0.5547888383574912,0.2660474522483367,-7.562508766517995,-5.2448276902712525,-3.762259741835536
1591,0.0857136080731548,-3.795380839235565,-1.1263457974605595,-1.2339663596876005,0.1181590056850161,-5.3860243518027735,-2.708958811363363,-1.007980381081017,0.2739044558899886,-8.344638880673623,-6.014879346526272,-4.676365429340255
1592,0.0759743720359608,-3.4892689427245878,-0.7975366970659497,-0.983030557668626,0.1077454118086598,-5.143600503372031,-2.571753240911184,-0.7956986312118335,0.2373967143266572,-7.460757131474496,-5.235772080919143,-3.8274829283300753
1660,0.0813017895213034,-3.630095444747964,-0.9655532289215444,-0.9563855157680096,0.1082932466049509,-5.162225097094722,-2.6332913747719333,-0.7041896121373781,0.2503475919873213,-7.773754230936454,-5.548296835484923,-4.043018716737938
1685,0.083738201414082,-4.1383298984822,-1.4999713657173457,-1.830123170627661,0.1098338619583474,-5.105570562004068,-2.591131641124962,-1.007644971028133,0.203346613335006,-5.973205336969318,-4.007246443253147,-2.702378716840796
1719,0.0786157614962495,-3.4791147980508934,-0.810043260513454,-0.9916303188998792,0.1100862240881853,-5.19340773835625,-2.5759580860243108,-0.8677760496234107,0.2395788181242394,-7.511530433082657,-5.33819381798689,-4.0313612615574925
1761,0.082362456482557,-4.111645374507307,-1.4037423412746184,-1.7306978697010582,0.1128994025107703,-5.022079800764739,-2.6133469634561237,-1.1018164265076331,0.1792268047166273,-5.438113821235011,-3.4499548608192065,-2.1906473163280613
1771,0.0816858321659163,-3.726489391907228,-1.0664946211147086,-1.2206162997820948,0.1092760726885478,-5.243928245059478,-2.657730949979384,-0.8522234730491534,0.2549116392762345,-7.922468318720857,-5.651014482211211,-4.273629687269609
1788,0.0784076378753314,-3.311319136648043,-0.6687773663522283,-0.8111140238973776,0.1031244889634813,-4.808733324313137,-2.164796250648385,-0.3998725528162913,0.2317524989808617,-7.145573106666872,-4.839743693970626,-3.547851450504319
1799,0.0715458374315527,-3.2350547998179127,-0.6424050794069748,-0.8498442544503012,0.1064683719183639,-4.981901272672134,-2.4989172396848973,-0.7599452658531272,0.2070122320957907,-6.214555549454748,-4.125094273332967,-2.8392724540826757
1805,0.0760199466271109,-3.264613220750048,-0.65221100979865,-0.9794580249845292,0.1132000953203249,-4.953151332727682,-2.471931562008165,-0.8884420507256973,0.2067532402893686,-6.174591580696085,-4.051719197858436,-2.7769128627430506
1842,0.0677711612215866,-2.9920264482028327,-0.3994773594944802,-0.5567280175267953,0.1037595147233344,-4.834350700660651,-2.3532664245746635,-0.6326203798673534,0.198540453440599,-6.002986227566805,-3.804603169372057,-2.5288301305506424
