respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
8039,967.2736886617232,2,0,1,308.2692618295667,0.0,471.94985716076036,70,64.93706490057592,59.825043988610844,1,,,,,0,0,1,0,1,0,1,0.0707233914554506,-3.603167757811596,-1.030889255954077,-1.2793718610699925,0.104074477901214,-4.595519475956515,-2.051535959358921,-0.5906218721253178,0.2434825722690296,-6.988088471574255,-4.850759602225264,-3.541784275393093,,,,,,,,,,,,,0.0,0.0,1,,1.0,1.0,92.0,230.0,92.0,230.0,2.436,5.856,1.464,1.956,0.06,0.04,0.02,0.08,3.456,21.6,10.368,12.96,24.0,48.0,24.0,48.0,80.0,160.0,80.0,160.0,0.01,0.65,0.7,0.01,0.5,0.25,0.75,0.9,0.01,0.5,0.8,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0,0.0,458.263575575476,233.7187194559099,229.2818989175865,236.04930540607833,236.92634507628418,226.79442441118445,231.35910658208923,228.22924892652296,232.48611568531416,232.55094327483488,234.10619593209574,238.6727276602919,235.5465966427217,237.34039349531741
8049,6226.779569658952,2,1,1,133.4,0.0,540.0,64,19.400000000000002,19.400000000000002,1,60,19.400000000000002,19.400000000000002,1,0,1,0,1,0,0,1,0.0842720245403702,-3.960412621768607,-1.2409155710523372,-1.5452614238824982,0.1056728109430731,-4.470211753032807,-1.869167142875665,-0.4148195208208917,0.2053029231275283,-6.0745685697200935,-3.910080552283069,-2.65458378855205,0.0746347056748267,-3.0386253734568505,-0.3354394778742852,-0.5182532721168469,0.1018787093452839,-4.59972358639899,-2.004963847669894,-0.3635197386220337,0.1960389467286046,-6.400782172680045,-4.05912655545645,-2.90310782841321,0.0,0.0,0,0.0,1.0,1.0,126.68,316.7,126.68,316.7,0.732,4.416,1.836,2.208,0.02,0.06,0.08,0.04,6.0840000000000005,25.332,4.056,30.396,24.0,48.0,24.0,48.0,81.0,162.0,81.0,162.0,0.4,0.01,0.01,0.6,0.2,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0,0.0,458.263575575476,294.1363371275362,284.3274757347642,287.4062101397381,281.55038147495355,297.61043869136324,294.3737084254793,291.05209413184485,292.79173144541954,293.81454528814163,294.1701381010227,293.75820187573254,288.65397453249795,297.02426392790784
8051,967.2736886617232,2,1,1,120.0055,0.0,300.0,70,101.34870852117984,101.34870852117984,1,70,65.26642100658731,65.26642100658731,1,1,1,1,0,1,0,1,0.0606408449709898,-3.6752626746942334,-0.8991835487336791,-1.4228112406346285,0.1017009251047135,-4.88288708967552,-2.4150142725009003,-1.1406957914506568,0.2166886868218124,-6.41366324860853,-4.314519792683129,-3.315215359654147,0.0596854300966901,-3.2124746243838977,-0.5038439988143277,-0.6583068044630184,0.0881830728196958,-4.763264956378714,-2.145966054422221,-0.4128316580816592,0.200716295015686,-7.22388400549166,-4.920633220678499,-3.585962933078811,0.0,0.0,0,0.0,1.0,1.0,424.0,1060.0,424.0,1060.0,0.972,2.928,2.928,4.884,0.06,0.08,0.02,0.04,15.936,59.748000000000005,39.828,119.48400000000001,24.0,48.0,24.0,48.0,60.0,120.0,60.0,120.0,0.1,0.01,0.01,0.01,0.7,0.7,0.7,0.7,0.2,0.1,0.3,0.25,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0,0.0,458.263575575476,406.42404441968273,380.58449552759805,403.98051697425274,400.9264142684579,446.54272867207106,406.43775343883385,405.5069150441277,404.6765986818997,403.7342818556827,407.6892283963587,410.53842928078814,408.9720991543684,411.16417419871186
8053,999.5341708562004,4,0,1,75.0,0.0,300.0,64,39.50185196826528,22.855094009353493,1,,,,,1,1,1,1,0,0,0,0.0744227327405138,-3.080656658110114,-0.4098793139967667,-0.5428073811151808,0.1181581475615061,-5.046168610445106,-2.525136195305971,-0.7613744805060021,0.2307380728649232,-6.695340687345292,-4.445663281324875,-3.0501487194286265,,,,,,,,,,,,,0.0,0.0,0,,1.0,1.0,15.6,39.0,15.6,39.0,0.852,2.556,2.124,5.1000000000000005,0.04,0.02,0.08,0.06,0.6960000000000001,3.456,1.1520000000000001,1.1520000000000001,24.0,48.0,24.0,48.0,45.0,90.0,45.0,90.0,0.01,0.5,0.5,0.01,0.5,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.0,24.86167960088692,49.72335920177384,2.5378968308832714,5.281575561080865,8.983375793960331,0.0,0.0,540.3203242905112,187.03016292267793,184.90512761530132,183.4005379462519,185.16590526387196,182.1947080906401,186.81398452960593,186.09717623520197,185.92874965263388,183.73867960411562,183.96630039142786,184.5277997494652,182.2342638963416,182.6042410638929
8072,1321.982893522959,2,0,1,430.0,0.0,450.0,63,52.533456046018074,52.533456046018074,1,,,,,0,1,1,0,0,0,0,0.08064622101526,-3.1319494689620697,-0.389939650031088,-0.8104262588355272,0.1094745227369286,-4.573687442904078,-2.043481760242313,-0.580870775048012,0.2663885854918724,-8.113339491844947,-5.593428472042,-4.553508113019642,,,,,,,,,,,,,0.0,0.0,0,,1.0,1.0,86.0,215.0,86.0,215.0,1.272,5.1000000000000005,0.852,4.248,0.06,0.04,0.02,0.08,6.192,6.192,7.428,9.288,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0,0.0,458.263575575476,318.2123921096145,320.8929663560396,308.1985090743436,323.10924766757444,313.9192961542476,317.344697038187,312.037089279408,318.0780121054638,313.53414759192543,316.7219674639085,320.7906608839013,319.4673193825957,318.7449943323361
8077,1666.0411339049424,3,1,1,230.0,0.0,1500.0,65,103.67680509999998,103.67680509999998,1,62,103.67680509999998,103.67680509999998,1,1,1,1,0,1,0,1,0.0810432548294197,-3.5736243158939933,-0.8707415134451741,-1.019971744148965,0.107772047444501,-5.176383041938877,-2.562249005656985,-0.7830933915448921,0.2333204406088893,-7.377681194879324,-5.1262979939129885,-3.8456960099836057,0.0731369263691378,-4.030418799320608,-1.3397257713912638,-1.584023173652029,0.0958639492804988,-4.959423257405055,-2.3436978757280333,-0.7252282458047292,0.159824728106207,-5.852560094666701,-3.8565603122917658,-2.5773745893636244,0.0,0.0,0,0.0,1.0,1.0,146.0,365.0,146.0,365.0,1.668,6.672,2.7840000000000003,2.22,0.04,0.06,0.08,0.02,13.26,27.624000000000002,4.416,16.572,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,41.06251804330393,82.12503608660786,2.8161376072168003,5.255545847748535,8.073122529569831,0.0,0.0,1144.9093087627477,700.295101158479,705.125322458938,701.3317505106227,694.2989350898345,688.0143864621243,699.4193564628378,694.3863390535187,698.0544869624629,699.8575190538934,706.4717620480302,720.7819561022029,701.0428080925772,724.7861239908932
8099,1666.0411339049424,11,1,1,290.76652765169086,0.0,820.1366903837038,69,35.90850084076083,35.90850084076083,1,70,43.31544130369219,43.31544130369219,2,1,1,1,0,0,0,0,0.075582318395271,-3.514963465811524,-0.7504871507992997,-0.9648582980342956,0.104468908917266,-5.119671511209078,-2.496550250828613,-0.762679255269376,0.2462199851638705,-7.7270050445558525,-5.439613353426192,-4.217025865986391,0.0085372116185196,-1.8114862895426325,0.665574876850808,0.91651031119114,0.045318889009059,-2.8155259881830803,-0.4548570037435466,1.6014888110987746,0.2011103678719961,-6.6914646953355295,-4.36474902966434,-2.758008076706022,0.0,0.0,1,1.0,1.0,1.0,53.0,132.5,53.0,132.5,1.668,6.672,2.7840000000000003,2.22,0.06,0.08,0.04,0.02,4.488,13.452,2.688,4.488,24.0,48.0,24.0,48.0,80.0,160.0,80.0,160.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,40.64727272727273,81.29454545454546,2.734057673143996,5.085928680460405,7.8049459259432306,0.0,0.0,757.8188728399456,337.4099285716364,337.1310940567777,340.4479666367016,334.92435413288825,328.78416934051177,336.2628846016895,331.11390154554414,334.8877211410904,336.5369365733395,333.4307987611742,331.47470592683453,334.93932106160054,339.8814924117478
8111,9964.177008128749,2,0,1,436.0,0.0,400.0,68,29.368020353991508,29.368020353991508,1,,,,,0,1,0,1,0,0,0,0.0886388447467485,-3.2445817714151777,-0.5496363741297412,-0.8801742940053183,0.1216349169406564,-4.6311483968540745,-2.0985477703419613,-0.576272720407538,0.2780863716096802,-7.586925196514994,-5.136161222074364,-4.001019070465545,,,,,,,,,,,,,0.0,0.0,0,,1.0,1.0,87.2,218.0,87.2,218.0,1.668,2.22,2.7840000000000003,6.672,0.02,0.06,0.04,0.08,8.64,18.0,2.88,10.8,24.0,48.0,24.0,48.0,80.0,160.0,80.0,160.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0,0.0,458.263575575476,208.92865319851416,207.7534784776654,206.1515041583042,202.74775470113593,197.24663929533298,208.26437410833677,208.57337602632882,207.4363033518453,205.34734653574353,208.44540741740383,207.94047527379502,207.60052205119152,207.15476010929845
8122,9468.047129807805,10,1,1,400.0,0.0,220.0,60,54.342513233744754,54.342513233744754,1,62,12.902815100559849,12.902815100559849,1,0,0,0,0,0,0,0,0.0745106760830443,-2.9528448182379936,-0.3207638910509295,-0.4994221357648947,0.0990222867370646,-4.6123833428374885,-2.095647800966044,-0.5366898942299007,0.1990843379947,-5.772929594357548,-3.4774942420347705,-2.515893411679196,0.0769036188711391,-3.096984819299211,-0.5207950347926125,-0.8334198108920249,0.1029701855468076,-3.83696833106016,-1.5285264290601088,-0.0723985013009979,0.2058592446155411,-5.2803981729024345,-3.2408822789272103,-2.1571130215748915,0.0,0.0,0,0.0,1.0,1.0,80.0,200.0,80.0,200.0,0.852,2.556,2.124,5.1000000000000005,0.04,0.06,0.02,0.08,2.136,13.332,3.204,15.996,24.0,48.0,24.0,48.0,33.0,66.0,33.0,66.0,0.01,0.01,0.01,0.2,0.3,0.1,0.05,0.01,0.01,0.01,0.01,0.01,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0,0.0,311.31759594053744,339.52980399010397,335.6702984145409,343.7834649597708,337.5776745677283,348.33598378945334,339.2890463790701,337.40473417037566,336.99694194277754,332.8195731825245,340.6812574481967,341.8820122683332,341.22730373130514,341.7581389011378
8126,4427.977115973115,3,0,1,150.0,0.0,1000.0,61,28.428708533710573,28.428708533710573,1,,,,,1,1,1,0,0,0,0,0.076894725213133,-1.929437120592996,0.7784159133797949,0.8580057071728163,0.1137606568753695,-3.168282415784533,-0.5531742184736814,1.4111532655296457,0.2795684347954315,-6.871947766105747,-4.385468941646002,-2.578312978830408,,,,,,,,,,,,,0.0,0.0,0,,1.0,1.0,44.0,110.0,44.0,110.0,1.272,1.704,2.556,4.248,0.06,0.04,0.08,0.02,3.624,3.012,3.012,4.524,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,41.06251804330393,82.12503608660786,2.8161376072168003,5.255545847748535,8.073122529569831,0.0,0.0,1144.9093087627477,251.4118242902313,248.82701464629096,241.46287543180364,248.4705739307461,242.2873410604614,251.5046349959662,252.3348836421541,250.6912003819857,250.67950739785277,245.71375450692642,252.83166120791745,244.93459660401018,254.68171694681817
